"dian_yuan_shu","vip_shu","zong_jian_shu","ling_shou_jia_zong_e","zhe_kou_zong_e","vip_shi_ji_xiao_shou_e","ping_jun_wen_du","ke_liu_liang","shi_ji_xiao_shou_zong_e"
"9","9","82","48084.000","1711.000","11116.000","31","0","46373.000"
"10","14","57","31806.000","1721.000","14871.000","31","0","30085.000"
"9","15","58","32459.000","2406.000","14742.000","30","0","30053.000"
"10","11","60","33414.000","2057.000","9532.000","29","0","31357.000"
"8","6","48","25376.000","749.000","5449.000","29","0","24627.000"
"10","17","51","25031.000","1260.000","13414.000","28","0","23771.000"
"10","12","68","35664.000","1813.000","10475.000","29","0","33851.000"
"10","16","87","44975.000","2435.000","19670.000","29","0","42540.000"
"9","12","54","30747.000","1774.000","14866.000","28","0","28973.000"
"8","9","25","11575.000","908.000","5368.000","27","0","10667.000"
"9","18","66","36899.000","2934.000","24674.000","27","0","33965.000"
"11","9","45","25026.000","1877.000","13205.000","28","0","23149.000"
"10","15","58","28514.000","1791.000","15433.000","29","0","26723.000"
"11","20","73","36738.000","2409.000","16801.000","30","0","34329.000"
"10","20","89","49465.000","4821.000","26166.000","30","0","44644.000"
"8","9","41","21490.000","1522.000","7140.000","31","0","19968.000"
"8","15","48","26846.000","2268.000","17457.000","31","0","24578.000"
"8","11","52","29491.000","1395.000","9094.000","31","0","28096.000"
"8","15","71","37991.000","1857.000","15531.000","31","0","36134.000"
"8","8","33","19830.000","624.000","5425.000","30","0","19206.000"
"11","12","68","38347.000","1610.000","7771.000","28","0","36737.000"
"10","11","65","38397.000","1681.000","12651.000","28","0","36716.000"
"7","9","37","19446.000","1378.000","7461.000","29","0","18068.000"
"9","13","56","32636.000","1467.000","13394.000","29","0","31169.000"
"9","10","36","20526.000","1668.000","11589.000","29","0","18858.000"
"7","8","19","11974.000","809.000","5319.000","28","0","11165.000"
"10","10","42","21849.000","1048.000","6845.000","28","0","20801.000"
"10","17","86","53761.000","2701.000","21095.000","27","0","51060.000"
"10","14","57","32047.000","1791.000","14242.000","28","0","30256.000"
"8","11","53","35006.000","1962.000","12905.000","29","0","33044.000"
"11","7","27","18487.000","762.000","5206.000","29","0","17725.000"
"8","12","38","23175.000","1607.000","13137.000","28","0","21568.000"
"8","8","21","13061.000","1351.000","4580.000","28","0","11710.000"
"9","17","55","34950.000","2417.000","23734.000","28","0","32533.000"
"11","11","62","37793.000","1562.000","12860.000","28","0","36231.000"
"11","14","59","34695.000","1802.000","15963.000","28","0","32893.000"
"8","14","43","27300.000","2220.000","19627.000","29","0","25080.000"
"10","10","40","24013.000","1357.000","10161.000","30","0","22656.000"
"8","10","31","18520.000","1287.000","9901.000","30","0","17233.000"
"7","13","68","44319.000","2330.000","15112.000","29","0","41989.000"
"11","13","51","30192.000","1608.000","12145.000","29","0","28584.000"
"9","11","35","20818.000","1413.000","12698.000","29","0","19405.000"
"10","13","36","21284.000","1260.000","9053.000","29","0","20024.000"
"11","10","37","21625.000","1196.000","7583.000","27","0","20429.000"
"8","13","39","23054.000","1939.000","15711.000","27","0","21115.000"
"10","18","49","31313.000","2547.000","15104.000","27","0","28766.000"
"10","12","40","22150.000","1650.000","9629.000","28","0","20500.000"
"11","18","61","37171.000","2436.000","19045.000","29","0","34735.000"
"10","17","59","36115.000","2694.000","18156.000","29","0","33421.000"
"9","13","52","31710.000","1923.000","16066.000","30","0","29787.000"
"8","11","47","28397.000","1549.000","9198.000","31","0","26848.000"
"10","12","41","23801.000","1541.000","11284.000","31","0","22260.000"
"10","22","82","50946.000","10024.000","27411.000","27","0","40922.000"
"10","16","83","52599.000","13271.000","17257.000","24","0","39328.000"
"11","18","98","64158.000","18005.000","12909.000","23","0","46153.000"
"10","12","113","74913.000","19534.000","15910.000","25","0","55379.000"
"10","12","94","50670.000","13548.000","11600.000","26","0","37122.000"
"10","9","100","59024.000","16522.000","8704.000","28","0","42502.000"
"9","7","88","59823.000","15193.000","7620.000","28","0","44630.000"
"10","14","105","69168.000","18064.860","19725.000","28","0","51103.140"
"9","9","79","46217.000","9610.140","15540.000","28","0","36606.860"
"9","10","64","43873.000","12587.910","11496.000","28","0","31285.090"
"7","6","15","8497.000","799.090","3029.000","28","0","7697.910"
"7","9","43","27101.000","1366.000","9474.000","26","0","25735.000"
"8","9","32","20391.000","1646.000","11723.000","25","0","18745.000"
"6","5","17","11246.000","1059.000","5233.000","24","0","10187.000"
"9","13","26","18657.000","1522.000","13205.000","23","0","17135.000"
"9","13","54","33670.000","3422.000","18321.000","26","0","30248.000"
"8","10","31","21053.000","1177.000","10156.000","26","0","19876.000"
"11","18","62","41624.000","3883.000","21035.000","27","0","37741.000"
"10","11","53","37602.000","2221.000","11957.000","28","0","35381.000"
"9","13","47","37204.000","5040.000","17557.000","27","0","32164.000"
"6","9","25","22060.000","2037.000","15934.000","24","0","20023.000"
"7","5","33","29806.000","1431.000","9154.000","24","0","28375.000"
"9","12","40","27447.000","3004.000","11657.000","27","0","24443.000"
"8","8","22","21634.000","1484.000","13147.000","25","0","20150.000"
"9","8","36","23618.000","1296.000","7901.000","26","0","22322.000"
"10","18","78","53091.000","3058.000","24617.000","27","0","50033.000"
"9","11","31","18072.000","1432.000","10432.000","27","0","16640.000"
